EffectiveTime,FieldName,Region,Value
02/01/2017 04:15,CO2_INTENSITY,ROI,515
02/01/2017 04:30,CO2_INTENSITY,ROI,521
02/01/2017 04:45,CO2_INTENSITY,ROI,507
02/01/2017 05:00,CO2_INTENSITY,ROI,517
02/01/2017 05:15,CO2_INTENSITY,ROI,525
02/01/2017 05:30,CO2_INTENSITY,ROI,528
02/01/2017 05:45,CO2_INTENSITY,ROI,524
02/01/2017 06:00,CO2_INTENSITY,ROI,531
02/01/2017 06:15,CO2_INTENSITY,ROI,534
02/01/2017 06:30,CO2_INTENSITY,ROI,537
02/01/2017 06:45,CO2_INTENSITY,ROI,541
02/01/2017 07:00,CO2_INTENSITY,ROI,559
02/01/2017 07:15,CO2_INTENSITY,ROI,561
02/01/2017 07:30,CO2_INTENSITY,ROI,558
02/01/2017 07:45,CO2_INTENSITY,ROI,546
02/01/2017 08:00,CO2_INTENSITY,ROI,539
02/01/2017 08:15,CO2_INTENSITY,ROI,543
02/01/2017 08:30,CO2_INTENSITY,ROI,551
02/01/2017 08:45,CO2_INTENSITY,ROI,553
02/01/2017 09:00,CO2_INTENSITY,ROI,544
02/01/2017 09:15,CO2_INTENSITY,ROI,549
02/01/2017 09:30,CO2_INTENSITY,ROI,529
02/01/2017 09:45,CO2_INTENSITY,ROI,534
02/01/2017 10:00,CO2_INTENSITY,ROI,535
02/01/2017 10:15,CO2_INTENSITY,ROI,535
02/01/2017 10:30,CO2_INTENSITY,ROI,522
02/01/2017 10:45,CO2_INTENSITY,ROI,511
02/01/2017 11:00,CO2_INTENSITY,ROI,523
02/01/2017 11:15,CO2_INTENSITY,ROI,498
02/01/2017 11:30,CO2_INTENSITY,ROI,503
02/01/2017 11:45,CO2_INTENSITY,ROI,520
02/01/2017 12:00,CO2_INTENSITY,ROI,521
02/01/2017 12:15,CO2_INTENSITY,ROI,516
02/01/2017 12:30,CO2_INTENSITY,ROI,516
02/01/2017 12:45,CO2_INTENSITY,ROI,517
02/01/2017 13:00,CO2_INTENSITY,ROI,521
02/01/2017 13:15,CO2_INTENSITY,ROI,501
02/01/2017 13:30,CO2_INTENSITY,ROI,490
02/01/2017 13:45,CO2_INTENSITY,ROI,494
02/01/2017 14:00,CO2_INTENSITY,ROI,489
02/01/2017 14:15,CO2_INTENSITY,ROI,495
02/01/2017 14:30,CO2_INTENSITY,ROI,488
02/01/2017 14:45,CO2_INTENSITY,ROI,488
02/01/2017 15:00,CO2_INTENSITY,ROI,500
02/01/2017 15:15,CO2_INTENSITY,ROI,497
02/01/2017 15:30,CO2_INTENSITY,ROI,483
02/01/2017 15:45,CO2_INTENSITY,ROI,479
02/01/2017 16:00,CO2_INTENSITY,ROI,483
02/01/2017 16:15,CO2_INTENSITY,ROI,467
02/01/2017 16:30,CO2_INTENSITY,ROI,452
02/01/2017 16:45,CO2_INTENSITY,ROI,441
02/01/2017 17:00,CO2_INTENSITY,ROI,438
02/01/2017 17:15,CO2_INTENSITY,ROI,446
02/01/2017 17:30,CO2_INTENSITY,ROI,458
02/01/2017 17:45,CO2_INTENSITY,ROI,457
02/01/2017 18:00,CO2_INTENSITY,ROI,461
02/01/2017 18:15,CO2_INTENSITY,ROI,470
02/01/2017 18:30,CO2_INTENSITY,ROI,470
02/01/2017 18:45,CO2_INTENSITY,ROI,464
02/01/2017 19:00,CO2_INTENSITY,ROI,464
02/01/2017 19:15,CO2_INTENSITY,ROI,463
02/01/2017 19:30,CO2_INTENSITY,ROI,460
02/01/2017 19:45,CO2_INTENSITY,ROI,461
02/01/2017 20:00,CO2_INTENSITY,ROI,462
02/01/2017 20:15,CO2_INTENSITY,ROI,459
02/01/2017 20:30,CO2_INTENSITY,ROI,472
02/01/2017 20:45,CO2_INTENSITY,ROI,483
02/01/2017 21:00,CO2_INTENSITY,ROI,469
02/01/2017 21:15,CO2_INTENSITY,ROI,467
02/01/2017 21:30,CO2_INTENSITY,ROI,467
02/01/2017 21:45,CO2_INTENSITY,ROI,474
02/01/2017 22:00,CO2_INTENSITY,ROI,482
02/01/2017 22:15,CO2_INTENSITY,ROI,476
02/01/2017 22:30,CO2_INTENSITY,ROI,478
02/01/2017 22:45,CO2_INTENSITY,ROI,485
02/01/2017 23:00,CO2_INTENSITY,ROI,504
02/01/2017 23:15,CO2_INTENSITY,ROI,505
02/01/2017 23:30,CO2_INTENSITY,ROI,510
02/01/2017 23:45,CO2_INTENSITY,ROI,521
03/01/2017 00:00,CO2_INTENSITY,ROI,511
03/01/2017 00:15,CO2_INTENSITY,ROI,492
03/01/2017 00:30,CO2_INTENSITY,ROI,482
03/01/2017 00:45,CO2_INTENSITY,ROI,486
03/01/2017 01:00,CO2_INTENSITY,ROI,481
03/01/2017 01:15,CO2_INTENSITY,ROI,477
03/01/2017 01:30,CO2_INTENSITY,ROI,488
03/01/2017 01:45,CO2_INTENSITY,ROI,477
03/01/2017 02:00,CO2_INTENSITY,ROI,483
03/01/2017 02:15,CO2_INTENSITY,ROI,504
03/01/2017 02:30,CO2_INTENSITY,ROI,503
03/01/2017 02:45,CO2_INTENSITY,ROI,522
03/01/2017 03:00,CO2_INTENSITY,ROI,527
03/01/2017 03:15,CO2_INTENSITY,ROI,519
03/01/2017 03:30,CO2_INTENSITY,ROI,528
03/01/2017 03:45,CO2_INTENSITY,ROI,522
03/01/2017 04:00,CO2_INTENSITY,ROI,520
03/01/2017 04:15,CO2_INTENSITY,ROI,521
03/01/2017 04:30,CO2_INTENSITY,ROI,520
03/01/2017 04:45,CO2_INTENSITY,ROI,522
03/01/2017 05:00,CO2_INTENSITY,ROI,523
03/01/2017 05:15,CO2_INTENSITY,ROI,512
03/01/2017 05:30,CO2_INTENSITY,ROI,507
03/01/2017 05:45,CO2_INTENSITY,ROI,510
03/01/2017 06:00,CO2_INTENSITY,ROI,507
03/01/2017 06:15,CO2_INTENSITY,ROI,487
03/01/2017 06:30,CO2_INTENSITY,ROI,486
03/01/2017 06:45,CO2_INTENSITY,ROI,494
03/01/2017 07:00,CO2_INTENSITY,ROI,492
03/01/2017 07:15,CO2_INTENSITY,ROI,466
03/01/2017 07:30,CO2_INTENSITY,ROI,452
03/01/2017 07:45,CO2_INTENSITY,ROI,443
03/01/2017 08:00,CO2_INTENSITY,ROI,441
03/01/2017 08:15,CO2_INTENSITY,ROI,437
03/01/2017 08:30,CO2_INTENSITY,ROI,437
03/01/2017 08:45,CO2_INTENSITY,ROI,438
03/01/2017 09:00,CO2_INTENSITY,ROI,445
03/01/2017 09:15,CO2_INTENSITY,ROI,440
03/01/2017 09:30,CO2_INTENSITY,ROI,433
03/01/2017 09:45,CO2_INTENSITY,ROI,426
03/01/2017 10:00,CO2_INTENSITY,ROI,428
03/01/2017 10:15,CO2_INTENSITY,ROI,432
03/01/2017 10:30,CO2_INTENSITY,ROI,436
03/01/2017 10:45,CO2_INTENSITY,ROI,435
03/01/2017 11:00,CO2_INTENSITY,ROI,437
03/01/2017 11:15,CO2_INTENSITY,ROI,434
03/01/2017 11:30,CO2_INTENSITY,ROI,433
03/01/2017 11:45,CO2_INTENSITY,ROI,444
03/01/2017 12:00,CO2_INTENSITY,ROI,451
03/01/2017 12:15,CO2_INTENSITY,ROI,442
03/01/2017 12:30,CO2_INTENSITY,ROI,451
03/01/2017 12:45,CO2_INTENSITY,ROI,443
03/01/2017 13:00,CO2_INTENSITY,ROI,438
03/01/2017 13:15,CO2_INTENSITY,ROI,435
03/01/2017 13:30,CO2_INTENSITY,ROI,441
03/01/2017 13:45,CO2_INTENSITY,ROI,434
03/01/2017 14:00,CO2_INTENSITY,ROI,438
03/01/2017 14:15,CO2_INTENSITY,ROI,432
03/01/2017 14:30,CO2_INTENSITY,ROI,433
03/01/2017 14:45,CO2_INTENSITY,ROI,430
03/01/2017 15:00,CO2_INTENSITY,ROI,427
03/01/2017 15:15,CO2_INTENSITY,ROI,430
03/01/2017 15:30,CO2_INTENSITY,ROI,437
03/01/2017 15:45,CO2_INTENSITY,ROI,426
03/01/2017 16:00,CO2_INTENSITY,ROI,426
03/01/2017 16:15,CO2_INTENSITY,ROI,426
03/01/2017 16:30,CO2_INTENSITY,ROI,426
03/01/2017 16:45,CO2_INTENSITY,ROI,432
03/01/2017 17:00,CO2_INTENSITY,ROI,420
03/01/2017 17:15,CO2_INTENSITY,ROI,424
03/01/2017 17:30,CO2_INTENSITY,ROI,422
03/01/2017 17:45,CO2_INTENSITY,ROI,423
03/01/2017 18:00,CO2_INTENSITY,ROI,418
03/01/2017 18:15,CO2_INTENSITY,ROI,421
03/01/2017 18:30,CO2_INTENSITY,ROI,431
03/01/2017 18:45,CO2_INTENSITY,ROI,426
03/01/2017 19:00,CO2_INTENSITY,ROI,423
03/01/2017 19:15,CO2_INTENSITY,ROI,424
03/01/2017 19:30,CO2_INTENSITY,ROI,431
03/01/2017 19:45,CO2_INTENSITY,ROI,432
03/01/2017 20:00,CO2_INTENSITY,ROI,436
03/01/2017 20:15,CO2_INTENSITY,ROI,446
03/01/2017 20:30,CO2_INTENSITY,ROI,451
03/01/2017 20:45,CO2_INTENSITY,ROI,429
03/01/2017 21:00,CO2_INTENSITY,ROI,444
03/01/2017 21:15,CO2_INTENSITY,ROI,443
03/01/2017 21:30,CO2_INTENSITY,ROI,461
03/01/2017 21:45,CO2_INTENSITY,ROI,461
03/01/2017 22:00,CO2_INTENSITY,ROI,456
03/01/2017 22:15,CO2_INTENSITY,ROI,458
03/01/2017 22:30,CO2_INTENSITY,ROI,450
03/01/2017 22:45,CO2_INTENSITY,ROI,451
03/01/2017 23:00,CO2_INTENSITY,ROI,453
03/01/2017 23:15,CO2_INTENSITY,ROI,466
03/01/2017 23:30,CO2_INTENSITY,ROI,454
03/01/2017 23:45,CO2_INTENSITY,ROI,448
04/01/2017 00:00,CO2_INTENSITY,ROI,450
04/01/2017 00:15,CO2_INTENSITY,ROI,458
04/01/2017 00:30,CO2_INTENSITY,ROI,446
04/01/2017 00:45,CO2_INTENSITY,ROI,444
04/01/2017 01:00,CO2_INTENSITY,ROI,447
04/01/2017 01:15,CO2_INTENSITY,ROI,450
04/01/2017 01:30,CO2_INTENSITY,ROI,462
04/01/2017 01:45,CO2_INTENSITY,ROI,466
04/01/2017 02:00,CO2_INTENSITY,ROI,483
04/01/2017 02:15,CO2_INTENSITY,ROI,488
04/01/2017 02:30,CO2_INTENSITY,ROI,489
04/01/2017 02:45,CO2_INTENSITY,ROI,490
04/01/2017 03:00,CO2_INTENSITY,ROI,503
04/01/2017 03:15,CO2_INTENSITY,ROI,521
04/01/2017 03:30,CO2_INTENSITY,ROI,524
04/01/2017 03:45,CO2_INTENSITY,ROI,531
04/01/2017 04:00,CO2_INTENSITY,ROI,535
04/01/2017 04:15,CO2_INTENSITY,ROI,537
04/01/2017 04:30,CO2_INTENSITY,ROI,540
04/01/2017 04:45,CO2_INTENSITY,ROI,530
04/01/2017 05:00,CO2_INTENSITY,ROI,538
04/01/2017 05:15,CO2_INTENSITY,ROI,541
04/01/2017 05:30,CO2_INTENSITY,ROI,531
04/01/2017 05:45,CO2_INTENSITY,ROI,522
04/01/2017 06:00,CO2_INTENSITY,ROI,531
04/01/2017 06:15,CO2_INTENSITY,ROI,532
04/01/2017 06:30,CO2_INTENSITY,ROI,515
04/01/2017 06:45,CO2_INTENSITY,ROI,508
04/01/2017 07:00,CO2_INTENSITY,ROI,500
04/01/2017 07:15,CO2_INTENSITY,ROI,497
04/01/2017 07:30,CO2_INTENSITY,ROI,502
04/01/2017 07:45,CO2_INTENSITY,ROI,477
04/01/2017 08:00,CO2_INTENSITY,ROI,487
04/01/2017 08:15,CO2_INTENSITY,ROI,479
04/01/2017 08:30,CO2_INTENSITY,ROI,470
04/01/2017 08:45,CO2_INTENSITY,ROI,473
04/01/2017 09:00,CO2_INTENSITY,ROI,469
04/01/2017 09:15,CO2_INTENSITY,ROI,462
04/01/2017 09:30,CO2_INTENSITY,ROI,466
04/01/2017 09:45,CO2_INTENSITY,ROI,467
04/01/2017 10:00,CO2_INTENSITY,ROI,476
04/01/2017 10:15,CO2_INTENSITY,ROI,472
04/01/2017 10:30,CO2_INTENSITY,ROI,479
04/01/2017 10:45,CO2_INTENSITY,ROI,471
04/01/2017 11:00,CO2_INTENSITY,ROI,470
04/01/2017 11:15,CO2_INTENSITY,ROI,485
04/01/2017 11:30,CO2_INTENSITY,ROI,475
04/01/2017 11:45,CO2_INTENSITY,ROI,477
04/01/2017 12:00,CO2_INTENSITY,ROI,479
04/01/2017 12:15,CO2_INTENSITY,ROI,481
04/01/2017 12:30,CO2_INTENSITY,ROI,481
04/01/2017 12:45,CO2_INTENSITY,ROI,482
04/01/2017 13:00,CO2_INTENSITY,ROI,485
04/01/2017 13:15,CO2_INTENSITY,ROI,488
04/01/2017 13:30,CO2_INTENSITY,ROI,484
04/01/2017 13:45,CO2_INTENSITY,ROI,487
04/01/2017 14:00,CO2_INTENSITY,ROI,487
04/01/2017 14:15,CO2_INTENSITY,ROI,488
04/01/2017 14:30,CO2_INTENSITY,ROI,497
04/01/2017 14:45,CO2_INTENSITY,ROI,490
04/01/2017 15:00,CO2_INTENSITY,ROI,488
04/01/2017 15:15,CO2_INTENSITY,ROI,484
04/01/2017 15:30,CO2_INTENSITY,ROI,478
04/01/2017 15:45,CO2_INTENSITY,ROI,475
04/01/2017 16:00,CO2_INTENSITY,ROI,475
04/01/2017 16:15,CO2_INTENSITY,ROI,478
04/01/2017 16:30,CO2_INTENSITY,ROI,470
04/01/2017 16:45,CO2_INTENSITY,ROI,454
04/01/2017 17:00,CO2_INTENSITY,ROI,449
04/01/2017 17:15,CO2_INTENSITY,ROI,452
04/01/2017 17:30,CO2_INTENSITY,ROI,446
04/01/2017 17:45,CO2_INTENSITY,ROI,448
04/01/2017 18:00,CO2_INTENSITY,ROI,460
04/01/2017 18:15,CO2_INTENSITY,ROI,457
04/01/2017 18:30,CO2_INTENSITY,ROI,455
04/01/2017 18:45,CO2_INTENSITY,ROI,453
04/01/2017 19:00,CO2_INTENSITY,ROI,445
04/01/2017 19:15,CO2_INTENSITY,ROI,453
04/01/2017 19:30,CO2_INTENSITY,ROI,445
04/01/2017 19:45,CO2_INTENSITY,ROI,455
04/01/2017 20:00,CO2_INTENSITY,ROI,446
04/01/2017 20:15,CO2_INTENSITY,ROI,446
04/01/2017 20:30,CO2_INTENSITY,ROI,446
04/01/2017 20:45,CO2_INTENSITY,ROI,447
04/01/2017 21:00,CO2_INTENSITY,ROI,449
04/01/2017 21:15,CO2_INTENSITY,ROI,445
04/01/2017 21:30,CO2_INTENSITY,ROI,452
04/01/2017 21:45,CO2_INTENSITY,ROI,467
04/01/2017 22:00,CO2_INTENSITY,ROI,459
