EffectiveTime,FieldName,Region,Value
01/01/2018 00:00,CO2_INTENSITY,ROI,227
01/01/2018 00:15,CO2_INTENSITY,ROI,256
01/01/2018 00:30,CO2_INTENSITY,ROI,263
01/01/2018 00:45,CO2_INTENSITY,ROI,261
01/01/2018 01:00,CO2_INTENSITY,ROI,257
01/01/2018 01:15,CO2_INTENSITY,ROI,269
01/01/2018 01:30,CO2_INTENSITY,ROI,254
01/01/2018 01:45,CO2_INTENSITY,ROI,268
01/01/2018 02:00,CO2_INTENSITY,ROI,266
01/01/2018 02:15,CO2_INTENSITY,ROI,279
01/01/2018 02:30,CO2_INTENSITY,ROI,281
01/01/2018 02:45,CO2_INTENSITY,ROI,285
01/01/2018 03:00,CO2_INTENSITY,ROI,302
01/01/2018 03:15,CO2_INTENSITY,ROI,322
01/01/2018 03:30,CO2_INTENSITY,ROI,327
01/01/2018 03:45,CO2_INTENSITY,ROI,324
01/01/2018 04:00,CO2_INTENSITY,ROI,320
01/01/2018 04:15,CO2_INTENSITY,ROI,314
01/01/2018 04:30,CO2_INTENSITY,ROI,338
01/01/2018 04:45,CO2_INTENSITY,ROI,324
01/01/2018 05:00,CO2_INTENSITY,ROI,316
01/01/2018 05:15,CO2_INTENSITY,ROI,313
01/01/2018 05:30,CO2_INTENSITY,ROI,311
01/01/2018 05:45,CO2_INTENSITY,ROI,284
01/01/2018 06:00,CO2_INTENSITY,ROI,285
01/01/2018 06:15,CO2_INTENSITY,ROI,276
01/01/2018 06:30,CO2_INTENSITY,ROI,261
01/01/2018 06:45,CO2_INTENSITY,ROI,256
01/01/2018 07:00,CO2_INTENSITY,ROI,257
01/01/2018 07:15,CO2_INTENSITY,ROI,261
01/01/2018 07:30,CO2_INTENSITY,ROI,244
01/01/2018 07:45,CO2_INTENSITY,ROI,246
01/01/2018 08:00,CO2_INTENSITY,ROI,251
01/01/2018 08:15,CO2_INTENSITY,ROI,248
01/01/2018 08:30,CO2_INTENSITY,ROI,246
01/01/2018 08:45,CO2_INTENSITY,ROI,242
01/01/2018 09:00,CO2_INTENSITY,ROI,241
01/01/2018 09:15,CO2_INTENSITY,ROI,240
01/01/2018 09:30,CO2_INTENSITY,ROI,232
01/01/2018 09:45,CO2_INTENSITY,ROI,228
01/01/2018 10:00,CO2_INTENSITY,ROI,223
01/01/2018 10:15,CO2_INTENSITY,ROI,217
01/01/2018 10:30,CO2_INTENSITY,ROI,212
01/01/2018 10:45,CO2_INTENSITY,ROI,206
01/01/2018 11:00,CO2_INTENSITY,ROI,207
01/01/2018 11:15,CO2_INTENSITY,ROI,202
01/01/2018 11:30,CO2_INTENSITY,ROI,201
01/01/2018 11:45,CO2_INTENSITY,ROI,200
01/01/2018 12:00,CO2_INTENSITY,ROI,200
01/01/2018 12:15,CO2_INTENSITY,ROI,200
01/01/2018 12:30,CO2_INTENSITY,ROI,204
01/01/2018 12:45,CO2_INTENSITY,ROI,204
01/01/2018 13:00,CO2_INTENSITY,ROI,204
01/01/2018 13:15,CO2_INTENSITY,ROI,200
01/01/2018 13:30,CO2_INTENSITY,ROI,210
01/01/2018 13:45,CO2_INTENSITY,ROI,201
01/01/2018 14:00,CO2_INTENSITY,ROI,202
01/01/2018 14:15,CO2_INTENSITY,ROI,203
01/01/2018 14:30,CO2_INTENSITY,ROI,207
01/01/2018 14:45,CO2_INTENSITY,ROI,216
01/01/2018 15:00,CO2_INTENSITY,ROI,214
01/01/2018 15:15,CO2_INTENSITY,ROI,233
01/01/2018 15:30,CO2_INTENSITY,ROI,232
01/01/2018 15:45,CO2_INTENSITY,ROI,245
01/01/2018 16:00,CO2_INTENSITY,ROI,242
01/01/2018 16:15,CO2_INTENSITY,ROI,242
01/01/2018 16:30,CO2_INTENSITY,ROI,253
01/01/2018 16:45,CO2_INTENSITY,ROI,272
01/01/2018 17:00,CO2_INTENSITY,ROI,282
